Vehicle ID;O;D;Travel time
4.0;B1B_0;:M_0_0;1500
4.1;B1B_0;MM1_0;1505
4.2;B1B_0;MM1_0;1507
4.3;B1B_0;MM1_0;1510
4.4;B1B_0;:M_0_0;1516
4.5;B1B_0;:M_0_0;1518
4.6;B1B_0;MM1_0;1520
4.7;B1B_0;MM1_0;1525
4.8;B1B_0;MM1_0;1529
4.9;B1B_0;:M_0_0;1532
4.10;B1B_0;:M_0_0;1537
4.11;B1B_0;MM1_0;1540
4.12;B1B_0;MM1_0;1543
4.13;B1B_0;MM1_0;1549
4.14;B1B_0;:M_0_0;1551
4.15;B1B_0;:M_0_0;1554
4.16;B1B_0;:M_0_0;1559
4.17;B1B_0;:M_0_0;1561
4.18;B1B_0;MM1_0;1565
4.19;B1B_0;MM1_0;1571
4.20;B1B_0;MM1_0;1574
4.21;B1B_0;:M_0_0;1577
4.22;B1B_0;MM1_0;1582
4.23;B1B_0;MM1_0;1585
4.24;B1B_0;MM1_0;1587
4.25;B1B_0;MM1_0;1592
4.26;B1B_0;MM1_0;1595
2.0;A1A_0;MM1_0;1705
4.27;B1B_0;MM1_0;1606
4.28;B1B_0;:M_0_0;1612
4.29;B1B_0;:M_0_0;1614
2.1;A1A_0;MM1_0;1727
4.30;B1B_0;:M_0_0;1623
4.31;B1B_0;MM1_0;1628
4.32;B1B_0;MM1_0;1631
2.2;A1A_0;MM1_0;1747
4.33;B1B_0;MM1_0;1640
4.34;B1B_0;MM1_0;1645
4.35;B1B_0;MM1_0;1648
2.3;A1A_0;MM1_0;1767
4.36;B1B_0;:M_0_0;1659
4.37;B1B_0;MM1_0;1664
2.4;A1A_0;:M_0_0;1779
1.0;A1A_0;:L_3_0;1824
4.38;B1B_0;:M_0_0;1674
4.39;B1B_0;MM1_0;1676
1.1;A1A_0;:L_3_0;1834
4.40;B1B_0;MM1_0;1682
1.2;A1A_0;:L_3_0;1838
2.5;A1A_0;MM1_0;1800
4.41;B1B_0;MM1_0;1691
1.3;A1A_0;:L_3_0;1846
4.42;B1B_0;MM1_0;1694
4.43;B1B_0;MM1_0;1699
1.4;A1A_0;:L_3_0;1855
2.6;A1A_0;MM1_0;1820
1.5;A1A_0;:L_3_0;1858
