# type: node_to_node, edge_to_node, edge_to_node_list, edges_toll_cost
edge_to_node_list
# number of horizontal nodes (integer), number of vertical nodes (integer)
5,5
# starting edge (string), termination node (string)
fromArtificial00to00,44
fromArtificial00to00,44
fromArtificial00to00,44
fromArtificial00to00,44
fromArtificial00to00,44
fromArtificial00to00,44
fromArtificial00to00,44
fromArtificial00to00,44
fromArtificial00to00,44
fromArtificial00to00,44
fromArtificial01to01,44
fromArtificial01to01,44
fromArtificial01to01,44
fromArtificial01to01,44
fromArtificial01to01,44
fromArtificial01to01,44
fromArtificial01to01,44
fromArtificial01to01,44
fromArtificial01to01,44
fromArtificial01to01,44
fromArtificial02to02,44
fromArtificial02to02,44
fromArtificial02to02,44
fromArtificial02to02,44
fromArtificial02to02,44
fromArtificial02to02,44
fromArtificial02to02,44
fromArtificial02to02,44
fromArtificial02to02,44
fromArtificial02to02,44
fromArtificial03to03,44
fromArtificial03to03,44
fromArtificial03to03,44
fromArtificial03to03,44
fromArtificial03to03,44
fromArtificial03to03,44
fromArtificial03to03,44
fromArtificial03to03,44
fromArtificial03to03,44
fromArtificial03to03,44
fromArtificial04to04,44
fromArtificial04to04,44
fromArtificial04to04,44
fromArtificial04to04,44
fromArtificial04to04,44
fromArtificial04to04,44
fromArtificial04to04,44
fromArtificial04to04,44
fromArtificial04to04,44
fromArtificial04to04,44
fromArtificial10to10,44
fromArtificial10to10,44
fromArtificial10to10,44
fromArtificial10to10,44
fromArtificial10to10,44
fromArtificial10to10,44
fromArtificial10to10,44
fromArtificial10to10,44
fromArtificial10to10,44
fromArtificial10to10,44
fromArtificial11to11,44
fromArtificial11to11,44
fromArtificial11to11,44
fromArtificial11to11,44
fromArtificial11to11,44
fromArtificial11to11,44
fromArtificial11to11,44
fromArtificial11to11,44
fromArtificial11to11,44
fromArtificial11to11,44
fromArtificial12to12,44
fromArtificial12to12,44
fromArtificial12to12,44
fromArtificial12to12,44
fromArtificial12to12,44
fromArtificial12to12,44
fromArtificial12to12,44
fromArtificial12to12,44
fromArtificial12to12,44
fromArtificial12to12,44
fromArtificial13to13,44
fromArtificial13to13,44
fromArtificial13to13,44
fromArtificial13to13,44
fromArtificial13to13,44
fromArtificial13to13,44
fromArtificial13to13,44
fromArtificial13to13,44
fromArtificial13to13,44
fromArtificial13to13,44
fromArtificial14to14,44
fromArtificial14to14,44
fromArtificial14to14,44
fromArtificial14to14,44
fromArtificial14to14,44
fromArtificial14to14,44
fromArtificial14to14,44
fromArtificial14to14,44
fromArtificial14to14,44
fromArtificial14to14,44
fromArtificial20to20,44
fromArtificial20to20,44
fromArtificial20to20,44
fromArtificial20to20,44
fromArtificial20to20,44
fromArtificial20to20,44
fromArtificial20to20,44
fromArtificial20to20,44
fromArtificial20to20,44
fromArtificial20to20,44
fromArtificial21to21,44
fromArtificial21to21,44
fromArtificial21to21,44
fromArtificial21to21,44
fromArtificial21to21,44
fromArtificial21to21,44
fromArtificial21to21,44
fromArtificial21to21,44
fromArtificial21to21,44
fromArtificial21to21,44
fromArtificial22to22,44
fromArtificial22to22,44
fromArtificial22to22,44
fromArtificial22to22,44
fromArtificial22to22,44
fromArtificial22to22,44
fromArtificial22to22,44
fromArtificial22to22,44
fromArtificial22to22,44
fromArtificial22to22,44
fromArtificial23to23,44
fromArtificial23to23,44
fromArtificial23to23,44
fromArtificial23to23,44
fromArtificial23to23,44
fromArtificial23to23,44
fromArtificial23to23,44
fromArtificial23to23,44
fromArtificial23to23,44
fromArtificial23to23,44
fromArtificial24to24,44
fromArtificial24to24,44
fromArtificial24to24,44
fromArtificial24to24,44
fromArtificial24to24,44
fromArtificial24to24,44
fromArtificial24to24,44
fromArtificial24to24,44
fromArtificial24to24,44
fromArtificial24to24,44
fromArtificial30to30,44
fromArtificial30to30,44
fromArtificial30to30,44
fromArtificial30to30,44
fromArtificial30to30,44
fromArtificial30to30,44
fromArtificial30to30,44
fromArtificial30to30,44
fromArtificial30to30,44
fromArtificial30to30,44
fromArtificial31to31,44
fromArtificial31to31,44
fromArtificial31to31,44
fromArtificial31to31,44
fromArtificial31to31,44
fromArtificial31to31,44
fromArtificial31to31,44
fromArtificial31to31,44
fromArtificial31to31,44
fromArtificial31to31,44
fromArtificial32to32,44
fromArtificial32to32,44
fromArtificial32to32,44
fromArtificial32to32,44
