# type: node_to_node, edge_to_node_pd, edge_to_node_list, edges_toll_cost
edges_toll_cost
# number of horizontal nodes (integer), number of vertical nodes (integer)
5,5
# edge (string), edge cost (float)
from00to01,20
from00to10,20
from01to00,20
from01to02,20
from01to11,20
from02to01,20
from02to03,20
from02to12,20
from03to02,20
from03to04,20
from03to13,20
from04to03,20
from04to14,20
from10to00,20
from10to11,20
from10to20,20
from11to01,20
from11to10,20
from11to12,20
from11to21,20
from12to02,20
from12to11,20
from12to13,20
from12to22,20
from13to03,20
from13to12,20
from13to14,20
from13to23,20
from14to04,20
from14to13,20
from14to24,20
from20to10,20
from20to21,20
from20to30,20
from21to11,20
from21to20,20
from21to22,20
from21to31,20
from22to12,20
from22to21,20
from22to23,20
from22to32,20
from23to13,20
from23to22,20
from23to24,20
from23to33,15
from24to14,15
from24to23,15
from24to34,15
from30to20,15
from30to31,15
from30to40,15
from31to21,15
from31to30,15
from31to32,15
from31to41,15
from32to22,15
from32to31,15
from32to33,15
from32to42,15
from33to23,15
from33to32,15
from33to34,15
from33to43,15
from34to24,15
from34to33,15
from34to44,15
from40to30,15
from40to41,15
from41to31,15
from41to40,15
from41to42,15
from42to32,15
from42to41,15
from42to43,15
from43to33,15
from43to42,15
from43to44,15
from44to34,15
from44to43,15
fromArticiial00to00,0
fromArticiial01to01,0
fromArticiial02to02,0
fromArticiial03to03,0
fromArticiial04to04,0
fromArticiial10to10,0
fromArticiial11to11,0
fromArticiial12to12,0
fromArticiial13to13,0
fromArticiial14to14,0
fromArticiial20to20,0
fromArticiial21to21,0
fromArticiial22to22,0
fromArticiial23to23,0
fromArticiial24to24,0
fromArticiial30to30,0
fromArticiial31to31,0
fromArticiial32to32,0
fromArticiial33to33,0
fromArticiial34to34,0
fromArticiial40to40,0
fromArticiial41to41,0
fromArticiial42to42,0
fromArticiial43to43,0
fromArticiial44to44,0
