# type: node_to_node, edge_to_node_pd, edge_to_node_list, edges_toll_cost
edges_toll_cost
# number of horizontal nodes (integer), number of vertical nodes (integer)
5, 5
# edge (string), edge cost (float)
from00to01,8
from00to10,49
from01to02,28
from01to00,39
from01to11,14
from02to03,5
from02to01,46
from02to12,11
from03to04,38
from03to02,41
from03to13,49
from04to03,37
from04to14,8
from10to11,21
from10to20,12
from10to00,45
from11to12,36
from11to10,40
from11to21,28
from11to01,46
from12to13,49
from12to11,34
from12to22,39
from12to02,27
from13to14,24
from13to12,21
from13to23,47
from13to03,29
from14to13,11
from14to24,47
from14to04,29
from20to21,18
from20to30,34
from20to10,4
from21to22,14
from21to20,21
from21to31,35
from21to11,42
from22to23,49
from22to21,28
from22to32,45
from22to12,29
from23to24,12
from23to22,27
from23to33,40
from23to13,8
from24to23,12
from24to34,25
from24to14,50
from30to31,44
from30to40,22
from30to20,26
from31to32,16
from31to30,39
from31to41,4
from31to21,38
from32to33,49
from32to31,41
from32to42,43
from32to22,10
from33to34,5
from33to32,2
from33to43,25
from33to23,10
from34to33,17
from34to44,38
from34to24,32
from40to41,5
from40to30,10
from41to42,25
from41to40,14
from41to31,25
from42to43,22
from42to41,7
from42to32,5
from43to44,44
from43to42,11
from43to33,36
from44to43,2
from44to34,25
fromArtificial00to00,0
fromArtificial01to01,0
fromArtificial02to02,0
fromArtificial03to03,0
fromArtificial04to04,0
fromArtificial10to10,0
fromArtificial11to11,0
fromArtificial12to12,0
fromArtificial13to13,0
fromArtificial14to14,0
fromArtificial20to20,0
fromArtificial21to21,0
fromArtificial22to22,0
fromArtificial23to23,0
fromArtificial24to24,0
fromArtificial30to30,0
fromArtificial31to31,0
fromArtificial32to32,0
fromArtificial33to33,0
fromArtificial34to34,0
fromArtificial40to40,0
fromArtificial41to41,0
fromArtificial42to42,0
fromArtificial43to43,0
fromArtificial44to44,0
