# type: node_to_node, edge_to_node, edge_cost
edges_toll_cost
# number of horizontal nodes (integer), number of vertical nodes (integer)
5,5
# edge (string), edge cost (float)
from00to01,20
from00to10,20
from01to00,20
from01to02,20
from01to11,20
from02to01,20
from02to03,20
from02to12,20
from03to02,20
from03to04,20
from03to13,20
from04to03,20
from04to14,20
from10to00,20
from10to11,20
from10to20,20
from11to01,20
from11to10,20
from11to12,20
from11to21,20
from12to02,20
from12to11,20
from12to13,20
from12to22,20
from13to03,20
from13to12,20
from13to14,20
from13to23,20
from14to04,20
from14to13,20
from14to24,20
from20to10,20
from20to21,20
from20to30,20
from21to11,20
from21to20,20
from21to22,20
from21to31,20
from22to12,20
from22to21,20
from22to23,20
from22to32,20
from23to13,20
from23to22,20
from23to24,20
from23to33,15
from24to14,15
from24to23,15
from24to34,15
from30to20,15
from30to31,15
from30to40,15
from31to21,15
from31to30,15
from31to32,15
from31to41,15
from32to22,15
from32to31,15
from32to33,15
from32to42,15
from33to23,15
from33to32,15
from33to34,15
from33to43,15
from34to24,15
from34to33,15
from34to44,15
from40to30,15
from40to41,15
from41to31,15
from41to40,15
from41to42,15
from42to32,15
from42to41,15
from42to43,15
from43to33,15
from43to42,15
from43to44,15
from44to34,15
from44to43,15
:11_0,15
:14_0,15
:11_4,15
:23_11,15
:03_5,15
:42_5,15
:22_10,15
:41_4,15
:43_4,15
:11_6,15
:34_4,25
:10_3,25
:23_10,25
:14_3,25
:40_0,25
:12_11,25
:34_5,25
:12_8,25
:10_4,25
:12_9,25
:02_1,25
:20_4,25
:31_2,25
:31_4,25
:33_7,25
:03_3,25
:12_6,25
:41_1,25
:13_8,25
:42_0,25
:11_8,25
:13_10,25
:32_8,25
:31_8,25
:33_5,25
:04_0,25
:33_11,25
:12_4,25
:43_0,25
:20_2,25
:20_5,25
:14_1,25
:13_6,25
:31_7,25
:30_1,25
:42_1,25
:43_3,25
:22_1,25
:32_5,25
:21_6,25
:33_6,25
:21_2,25
:31_6,25
:13_2,25
:32_0,25
:32_7,10
:33_1,10
:13_4,10
:32_3,10
:03_1,10
:23_1,10
:14_5,10
:01_4,10
:10_2,10
:02_2,10
:22_0,10
:33_8,10
:23_5,10
:24_2,10
:14_4,10
:23_3,10
:30_4,10
:30_3,10
:34_3,10
:01_3,10
:11_9,10
:22_9,10
:32_9,10
:00_0,10
:11_1,10
:13_9,10
:32_11,10
:31_3,10
:01_0,10
:20_3,10
:32_1,10
:20_0,10
:42_3,10
:00_1,10
:11_2,10
:41_0,10
:02_0,10
:32_10,10
:32_6,10
:21_4,10
:22_5,10
:32_4,10
:13_5,10
:31_5,10
:34_0,10
:23_6,30
:41_3,30
:12_5,30
:22_4,30
:32_2,30
:22_8,30
:13_3,30
:12_10,30
:03_2,30
:11_5,30
:21_8,30
:22_6,30
:30_5,30
:21_1,30
:12_1,30
:22_11,30
:31_9,30
:21_5,30
:24_5,30
:04_1,30
:23_4,30
:40_1,30
:10_1,30
:10_0,30
:21_9,30
:12_0,30
:33_0,30
:44_1,30
:13_11,30
:43_2,30
:23_0,30
:34_1,30
:21_7,30
:33_10,30
:13_1,30
:13_7,30
:21_10,30
:21_11,30
:24_4,30
:24_3,30
:23_7,30
:12_3,30
:12_7,30
:22_3,30
:21_0,30
:24_1,5
:34_2,5
:14_2,5
:11_7,5
:23_8,5
:11_10,5
:24_0,5
:41_5,5
:43_1,5
:30_0,5
:33_3,5
:42_4,5
:43_5,5
:22_7,5
:13_0,5
:11_11,5
:33_4,5
:20_1,5
:02_3,5
:12_2,5
:41_2,5
:23_9,5
:02_4,5
:23_2,5
:31_11,5
:33_9,5
:21_3,5
:01_1,5
:42_2,5
:03_4,5
:31_0,5
:31_1,5
:11_3,5
:44_0,5
:01_5,5
:02_5,5
:30_2,5
:31_10,5
:03_0,5
:10_5,5
:33_2,5
:22_2,5
:01_2,5
